"date","RH","IXIC"
2019-06-21,0,0
2019-06-24,0,0
2019-06-25,-0.03,-0.02
2019-06-26,-0.05,-0.02
2019-06-27,-0.01,-0.01
2019-06-28,0.01,0
2019-07-01,0.04,0.01
2019-07-02,0.04,0.01
2019-07-03,0.06,0.02
2019-07-05,0.07,0.02
2019-07-08,0.04,0.01
2019-07-09,0.06,0.01
2019-07-10,0.04,0.02
2019-07-11,0.05,0.02
2019-07-12,0.07,0.03
2019-07-15,0.08,0.03
2019-07-16,0.1,0.02
2019-07-17,0.08,0.02
2019-07-18,0.1,0.02
2019-07-19,0.09,0.01
2019-07-22,0.08,0.02
2019-07-23,0.09,0.03
2019-07-24,0.13,0.04
2019-07-25,0.11,0.03
2019-07-26,0.14,0.04
2019-07-29,0.15,0.03
2019-07-30,0.22,0.03
2019-07-31,0.21,0.02
2019-08-01,0.19,0.01
2019-08-02,0.19,0
2019-08-05,0.17,-0.04
2019-08-06,0.19,-0.02
2019-08-07,0.18,-0.02
2019-08-08,0.22,0
2019-08-09,0.2,-0.01
2019-08-12,0.23,-0.02
2019-08-13,0.24,0
2019-08-14,0.19,-0.03
2019-08-15,0.2,-0.03
2019-08-16,0.21,-0.02
2019-08-19,0.24,0
2019-08-20,0.22,-0.01
2019-08-21,0.26,0
2019-08-22,0.28,-0.01
2019-08-23,0.24,-0.03
2019-08-26,0.26,-0.02
2019-08-27,0.25,-0.03
2019-08-28,0.25,-0.02
2019-08-29,0.24,-0.01
2019-08-30,0.25,-0.01
2019-09-03,0.23,-0.02
2019-09-04,0.22,-0.01
2019-09-05,0.26,0.01
2019-09-06,0.3,0.01
2019-09-09,0.34,0.01
2019-09-10,0.38,0.01
2019-09-11,0.45,0.02
2019-09-12,0.47,0.02
2019-09-13,0.51,0.02
2019-09-16,0.48,0.02
2019-09-17,0.51,0.02
2019-09-18,0.49,0.02
2019-09-19,0.48,0.02
2019-09-20,0.47,0.01
2019-09-23,0.47,0.01
2019-09-24,0.47,0
2019-09-25,0.48,0.01
2019-09-26,0.47,0
2019-09-27,0.49,-0.01
2019-09-30,0.49,0
2019-10-01,0.49,-0.02
2019-10-02,0.44,-0.03
2019-10-03,0.48,-0.02
2019-10-04,0.48,-0.01
2019-10-07,0.53,-0.01
2019-10-08,0.51,-0.03
2019-10-09,0.52,-0.02
2019-10-10,0.54,-0.01
2019-10-11,0.56,0
2019-10-14,0.59,0
2019-10-15,0.59,0.01
2019-10-16,0.59,0.01
2019-10-17,0.61,0.02
2019-10-18,0.58,0.01
2019-10-21,0.61,0.02
2019-10-22,0.61,0.01
2019-10-23,0.62,0.01
2019-10-24,0.61,0.02
2019-10-25,0.64,0.03
2019-10-28,0.63,0.04
2019-10-29,0.63,0.03
2019-10-30,0.61,0.03
2019-10-31,0.58,0.03
2019-11-01,0.53,0.04
2019-11-04,0.51,0.05
2019-11-05,0.5,0.05
2019-11-06,0.51,0.05
2019-11-07,0.53,0.05
2019-11-08,0.53,0.06
2019-11-11,0.52,0.05
2019-11-12,0.52,0.06
2019-11-13,0.51,0.06
2019-11-14,0.53,0.06
2019-11-15,0.64,0.06
2019-11-18,0.63,0.06
2019-11-19,0.59,0.07
2019-11-20,0.65,0.06
2019-11-21,0.7,0.06
2019-11-22,0.7,0.06
2019-11-25,0.76,0.07
2019-11-26,0.8,0.08
2019-11-27,0.79,0.08
2019-11-29,0.79,0.08
2019-12-02,0.74,0.07
2019-12-03,0.74,0.06
2019-12-04,0.79,0.07
2019-12-05,1.03,0.07
2019-12-06,1.11,0.08
2019-12-09,1.07,0.07
2019-12-10,1.03,0.07
2019-12-11,1.03,0.08
2019-12-12,0.92,0.09
2019-12-13,0.91,0.09
2019-12-16,0.92,0.1
2019-12-17,0.94,0.1
2019-12-18,0.93,0.1
2019-12-19,0.94,0.11
2019-12-20,0.92,0.11
2019-12-23,0.94,0.11
2019-12-24,0.99,0.11
2019-12-26,0.98,0.12
2019-12-27,0.87,0.12
2019-12-30,0.85,0.11
2019-12-31,0.86,0.12
2020-01-02,0.84,0.13
2020-01-03,0.82,0.12
2020-01-06,0.85,0.13
2020-01-07,0.88,0.13
2020-01-08,0.84,0.14
2020-01-09,0.9,0.15
2020-01-10,0.81,0.14
2020-01-13,0.88,0.15
2020-01-14,0.95,0.15
2020-01-15,0.93,0.15
2020-01-16,0.95,0.17
2020-01-17,0.94,0.17
2020-01-21,0.93,0.17
2020-01-22,0.95,0.17
2020-01-23,0.97,0.17
2020-01-24,0.93,0.16
2020-01-27,0.86,0.14
2020-01-28,0.92,0.15
2020-01-29,0.92,0.15
2020-01-30,0.91,0.16
2020-01-31,0.82,0.14
2020-02-03,0.82,0.15
2020-02-04,0.87,0.18
2020-02-05,0.92,0.18
2020-02-06,0.91,0.19
2020-02-07,0.88,0.19
2020-02-10,0.99,0.2
2020-02-11,1.06,0.2
2020-02-12,1.1,0.21
2020-02-13,1.08,0.21
2020-02-14,1.08,0.21
2020-02-18,1.2,0.21
2020-02-19,1.18,0.22
2020-02-20,1.14,0.21
2020-02-21,1.06,0.19
2020-02-24,0.9,0.15
2020-02-25,0.85,0.12
2020-02-26,0.83,0.12
2020-02-27,0.68,0.07
2020-02-28,0.58,0.07
2020-03-02,0.68,0.11
2020-03-03,0.6,0.08
2020-03-04,0.66,0.12
2020-03-05,0.52,0.09
2020-03-06,0.46,0.07
2020-03-09,0.29,-0.01
2020-03-10,0.27,0.04
2020-03-11,0.1,-0.01
2020-03-12,-0.06,-0.1
2020-03-13,0.07,-0.02
2020-03-16,-0.18,-0.14
2020-03-17,-0.19,-0.09
2020-03-18,-0.29,-0.13
2020-03-19,-0.2,-0.11
2020-03-20,-0.28,-0.14
2020-03-23,-0.3,-0.15
2020-03-24,-0.09,-0.08
2020-03-25,-0.08,-0.08
2020-03-26,-0.06,-0.03
2020-03-27,-0.03,-0.07
2020-03-30,0.03,-0.03
2020-03-31,-0.12,-0.04
2020-04-01,-0.23,-0.08
2020-04-02,-0.22,-0.07
2020-04-03,-0.25,-0.08
2020-04-06,-0.1,-0.01
2020-04-07,-0.08,-0.02
2020-04-08,-0.02,0.01
2020-04-09,0.07,0.02
2020-04-13,0.12,0.02
2020-04-14,0.14,0.06
2020-04-15,0.07,0.05
2020-04-16,0.06,0.06
2020-04-17,0.13,0.08
2020-04-20,0.08,0.07
2020-04-21,0.04,0.03
2020-04-22,0.11,0.06
2020-04-23,0.09,0.06
2020-04-24,0.16,0.08
2020-04-27,0.26,0.09
2020-04-28,0.3,0.07
2020-04-29,0.35,0.11
2020-04-30,0.25,0.11
2020-05-01,0.2,0.07
2020-05-04,0.24,0.08
2020-05-05,0.25,0.1
2020-05-06,0.28,0.1
2020-05-07,0.32,0.12
2020-05-08,0.39,0.14
2020-05-11,0.43,0.14
2020-05-12,0.36,0.12
2020-05-13,0.28,0.1
2020-05-14,0.31,0.11
2020-05-15,0.35,0.12
2020-05-18,0.52,0.15
2020-05-19,0.51,0.14
2020-05-20,0.52,0.17
2020-05-21,0.65,0.16
2020-05-22,0.73,0.16
2020-05-26,0.73,0.16
2020-05-27,0.82,0.17
2020-05-28,0.83,0.17
2020-05-29,0.89,0.18
2020-06-01,0.85,0.19
2020-06-02,1.16,0.2
2020-06-03,1.22,0.21
2020-06-04,1.16,0.2
2020-06-05,1.15,0.22
2020-06-08,1.21,0.24
2020-06-09,1.2,0.24
2020-06-10,1.13,0.25
2020-06-11,1,0.18
2020-06-12,1.05,0.19
2020-06-15,1.14,0.21
2020-06-16,1.22,0.23
2020-06-17,1.19,0.23
2020-06-18,1.22,0.24
2020-06-19,1.18,0.24
2020-06-22,1.22,0.25
2020-06-23,1.22,0.26
2020-06-24,1.18,0.23
2020-06-25,1.22,0.25
2020-06-26,1.22,0.21
2020-06-29,1.2,0.23
2020-06-30,1.17,0.25
2020-07-01,1.26,0.26
2020-07-02,1.22,0.27
2020-07-06,1.26,0.3
2020-07-07,1.24,0.29
2020-07-08,1.31,0.31
2020-07-09,1.27,0.31
2020-07-10,1.28,0.32
2020-07-13,1.25,0.29
2020-07-14,1.33,0.31
2020-07-15,1.44,0.31
2020-07-16,1.46,0.3
2020-07-17,1.49,0.31
2020-07-20,1.44,0.34
2020-07-21,1.45,0.33
2020-07-22,1.48,0.33
2020-07-23,1.47,0.3
2020-07-24,1.48,0.29
2020-07-27,1.54,0.31
2020-07-28,1.43,0.3
2020-07-29,1.49,0.31
2020-07-30,1.52,0.32
2020-07-31,1.5,0.34
2020-08-03,1.56,0.36
2020-08-04,1.56,0.36
2020-08-05,1.62,0.37
2020-08-06,1.63,0.38
2020-08-07,1.71,0.37
2020-08-10,1.72,0.37
2020-08-11,1.65,0.34
2020-08-12,1.7,0.37
2020-08-13,1.74,0.37
2020-08-14,1.74,0.37
2020-08-17,1.74,0.39
2020-08-18,1.8,0.4
2020-08-19,1.81,0.39
2020-08-20,1.82,0.4
2020-08-21,1.8,0.41
2020-08-24,1.82,0.42
2020-08-25,1.78,0.43
2020-08-26,1.83,0.45
2020-08-27,1.84,0.45
2020-08-28,1.89,0.46
2020-08-31,1.88,0.47
2020-09-01,1.97,0.49
2020-09-02,1.93,0.5
2020-09-03,1.79,0.43
2020-09-04,1.76,0.41
2020-09-08,1.72,0.35
2020-09-09,1.8,0.39
2020-09-10,2.36,0.36
2020-09-11,2.32,0.35
2020-09-14,2.32,0.38
2020-09-15,2.26,0.39
2020-09-16,2.32,0.38
2020-09-17,2.31,0.36
2020-09-18,2.3,0.34
2020-09-21,2.24,0.34
2020-09-22,2.24,0.37
2020-09-23,2.07,0.32
2020-09-24,2.06,0.33
2020-09-25,2.09,0.36
2020-09-28,2.15,0.38
2020-09-29,2.27,0.38
2020-09-30,2.33,0.39
2020-10-01,2.3,0.41
2020-10-02,2.35,0.38
2020-10-05,2.31,0.41
2020-10-06,2.15,0.39
2020-10-07,2.29,0.41
2020-10-08,2.28,0.42
2020-10-09,2.24,0.44
2020-10-12,2.18,0.48
2020-10-13,2.41,0.48
2020-10-14,2.39,0.47
2020-10-15,2.4,0.46
2020-10-16,2.36,0.45
2020-10-19,2.25,0.43
2020-10-20,2.19,0.43
2020-10-21,2.16,0.43
2020-10-22,2.3,0.43
2020-10-23,2.43,0.44
2020-10-26,2.18,0.41
2020-10-27,2.17,0.42
2020-10-28,2.08,0.37
2020-10-29,2.07,0.39
2020-10-30,1.92,0.36
2020-11-02,1.97,0.36
2020-11-03,2.13,0.39
2020-11-04,2.28,0.44
2020-11-05,2.39,0.48
2020-11-06,2.39,0.48
2020-11-09,2.24,0.46
2020-11-10,2.31,0.44
2020-11-11,2.57,0.47
2020-11-12,2.43,0.46
2020-11-13,2.56,0.47
2020-11-16,2.55,0.48
2020-11-17,2.66,0.48
2020-11-18,2.61,0.47
2020-11-19,2.77,0.48
2020-11-20,2.82,0.48
2020-11-23,2.84,0.48
2020-11-24,2.82,0.5
2020-11-25,2.92,0.51
2020-11-27,3.03,0.52
2020-11-30,2.95,0.52
2020-12-01,2.96,0.54
2020-12-02,2.96,0.54
2020-12-03,2.99,0.54
2020-12-04,3.08,0.55
2020-12-07,3.09,0.56
2020-12-08,3.11,0.57
